"#12 V motor (1) Z axis On the table, run at 12 V, using tape",
Time - Voltage - Voltage,Amplitude - Voltage - Voltage
0.386,1.393
0.386667,1.388
0.387333,1.395
0.388,1.403
0.388667,1.385
0.389333,1.39
0.39,1.395
0.390667,1.395
0.391333,1.39
0.392,1.4
0.392667,1.39
0.393333,1.39
0.394,1.395
0.394667,1.398
0.395333,1.385
0.396,1.388
0.396667,1.403
0.397333,1.395
0.398,1.393
0.398667,1.406
0.399333,1.395
0.4,1.383
0.400667,1.39
0.401333,1.406
0.402,1.398
0.402667,1.39
0.403333,1.395
0.404,1.393
0.404667,1.388
0.405333,1.393
0.406,1.39
0.406667,1.39
0.407333,1.395
0.408,1.4
0.408667,1.398
0.409333,1.39
0.41,1.4
0.410667,1.398
0.411333,1.39
0.412,1.4
0.412667,1.395
0.413333,1.385
0.414,1.398
0.414667,1.4
0.415333,1.388
0.416,1.385
0.416667,1.403
0.417333,1.395
0.418,1.388
0.418667,1.395
0.419333,1.411
0.42,1.388
0.420667,1.395
0.421333,1.395
0.422,1.385
0.422667,1.395
0.423333,1.4
0.424,1.385
0.424667,1.383
0.425333,1.393
0.426,1.395
0.426667,1.39
0.427333,1.403
0.428,1.393
0.428667,1.388
0.429333,1.398
0.43,1.411
0.430667,1.395
0.431333,1.385
0.432,1.406
0.432667,1.398
0.433333,1.388
0.434,1.393
0.434667,1.403
0.435333,1.398
0.436,1.395
0.436667,1.395
0.437333,1.395
0.438,1.385
0.438667,1.398
0.439333,1.393
0.44,1.385
0.440667,1.393
0.441333,1.408
0.442,1.395
0.442667,1.393
0.443333,1.403
0.444,1.377
0.444667,1.385
0.445333,1.4
0.446,1.395
0.446667,1.388
0.447333,1.395
0.448,1.398
0.448667,1.385
0.449333,1.403
0.45,1.395
0.450667,1.395
0.451333,1.413
0.452,1.39
0.452667,1.385
0.453333,1.395
0.454,1.393
0.454667,1.393
0.455333,1.383
0.456,1.39
0.456667,1.383
0.457333,1.395
0.458,1.398
0.458667,1.39
0.459333,1.395
0.46,1.411
0.460667,1.395
0.461333,1.39
0.462,1.39
0.462667,1.398
0.463333,1.39
0.464,1.4
0.464667,1.4
0.465333,1.395
0.466,1.395
0.466667,1.403
0.467333,1.393
0.468,1.403
0.468667,1.403
0.469333,1.398
0.47,1.383
0.470667,1.4
0.471333,1.393
0.472,1.395
0.472667,1.393
0.473333,1.406
0.474,1.39
0.474667,1.406
0.475333,1.398
0.476,1.377
0.476667,1.393
0.477333,1.398
0.478,1.39
0.478667,1.393
0.479333,1.413
0.48,1.395
0.480667,1.395
0.481333,1.398
0.482,1.395
0.482667,1.39
0.483333,1.385
0.484,1.395
0.484667,1.388
0.485333,1.4
0.486,1.395
0.486667,1.383
0.487333,1.38
0.488,1.403
0.488667,1.395
0.489333,1.39
0.49,1.393
0.490667,1.403
0.491333,1.388
0.492,1.383
0.492667,1.403
0.493333,1.395
0.494,1.39
0.494667,1.398
