"#12V motor run at 12V, 60 seconds, x axis",
Time - Voltage - Voltage_0,Amplitude - Voltage - Voltage_0
0.31,675.1u
0.310333,3.222m
0.310667,675.1u
0.311,7.043m
0.311333,5.769m
0.311667,3.222m
0.312,1.949m
0.312333,675.1u
0.312667,3.222m
0.313,1.949m
0.313333,4.496m
0.313667,4.496m
0.314,1.949m
0.314333,-1.872m
0.314667,-1.872m
0.315,-3.146m
0.315333,675.1u
0.315667,-1.872m
0.316,1.949m
0.316333,1.949m
0.316667,-3.146m
0.317,-4.419m
0.317333,-1.872m
0.317667,-598.5u
0.318,1.949m
0.318333,1.949m
0.318667,-1.872m
0.319,-1.872m
0.319333,-1.872m
0.319667,-4.419m
0.32,-3.146m
0.320333,-3.146m
0.320667,-3.146m
0.321,-598.5u
0.321333,-3.146m
0.321667,-1.872m
0.322,-5.693m
0.322333,-1.872m
0.322667,-1.872m
0.323,3.222m
0.323333,3.222m
0.323667,675.1u
0.324,675.1u
0.324333,-1.872m
0.324667,675.1u
0.325,675.1u
0.325333,1.949m
0.325667,3.222m
0.326,3.222m
0.326333,675.1u
0.326667,-1.872m
0.327,3.222m
0.327333,3.222m
0.327667,5.769m
0.328,5.769m
0.328333,3.222m
0.328667,675.1u
0.329,-1.872m
0.329333,1.949m
0.329667,675.1u
0.33,3.222m
0.330333,675.1u
0.330667,675.1u
0.331,-4.419m
0.331333,-5.693m
0.331667,-4.419m
0.332,-598.5u
0.332333,675.1u
0.332667,-598.5u
0.333,-1.872m
0.333333,-1.872m
0.333667,-5.693m
0.334,-5.693m
0.334333,675.1u
0.334667,-3.146m
0.335,675.1u
0.335333,1.949m
0.335667,-598.5u
0.336,-4.419m
0.336333,-4.419m
0.336667,-1.872m
0.337,-1.872m
0.337333,675.1u
0.337667,675.1u
0.338,-3.146m
0.338333,-598.5u
0.338667,-3.146m
0.339,675.1u
0.339333,-3.146m
0.339667,1.949m
0.34,3.222m
0.340333,4.496m
0.340667,1.949m
0.341,3.222m
0.341333,1.949m
0.341667,-598.5u
0.342,3.222m
0.342333,3.222m
0.342667,5.769m
0.343,7.043m
0.343333,3.222m
0.343667,1.949m
0.344,-598.5u
0.344333,-1.872m
0.344667,1.949m
0.345,675.1u
0.345333,1.949m
0.345667,3.222m
0.346,-1.872m
0.346333,-3.146m
0.346667,-3.146m
0.347,-3.146m
0.347333,1.949m
0.347667,1.949m
0.348,-1.872m
0.348333,-3.146m
0.348667,-5.693m
0.349,-3.146m
0.349333,-1.872m
0.349667,-1.872m
0.35,1.949m
0.350333,3.222m
0.350667,-3.146m
0.351,-1.872m
0.351333,-4.419m
0.351667,-4.419m
0.352,1.949m
0.352333,675.1u
0.352667,-1.872m
0.353,-1.872m
0.353333,-4.419m
0.353667,-4.419m
0.354,-598.5u
0.354333,675.1u
0.354667,3.222m
0.355,3.222m
0.355333,1.949m
0.355667,-3.146m
0.356,-1.872m
0.356333,3.222m
0.356667,3.222m
0.357,7.043m
0.357333,7.043m
0.357667,4.496m
0.358,3.222m
0.358333,1.949m
0.358667,675.1u
0.359,4.496m
0.359333,3.222m
0.359667,4.496m
0.36,1.949m
0.360333,675.1u
0.360667,-4.419m
0.361,-4.419m
0.361333,-598.5u
0.361667,-598.5u
0.362,1.949m
0.362333,-1.872m
0.362667,-1.872m
0.363,-4.419m
0.363333,-3.146m
0.363667,-5.693m
0.364,1.949m
0.364333,1.949m
0.364667,-1.872m
0.365,-3.146m
0.365333,-4.419m
0.365667,-598.5u
0.366,-598.5u
0.366333,1.949m
0.366667,1.949m
0.367,-1.872m
0.367333,-1.872m
0.367667,-4.419m
0.368,-5.693m
0.368333,-3.146m
0.368667,675.1u
0.369,675.1u
0.369333,-3.146m
0.369667,-3.146m
0.37,-3.146m
0.370333,1.949m
0.370667,1.949m
0.371,4.496m
0.371333,5.769m
0.371667,3.222m
0.372,675.1u
0.372333,675.1u
0.372667,675.1u
0.373,3.222m
0.373333,5.769m
0.373667,1.949m
